State,AccountLength,AreaCode,Phone,IntlPlan,VMailPlan,VMailMessage,DayMins,DayCalls,DayCharge,EveMins,EveCalls,EveCharge,NightMins,NightCalls,NightCharge,IntlMins,IntlCalls,IntlCharge,CustServCalls,Churn
KS,128,415,-4275,no,yes,25,1.5667669524156353,110,45.07,-0.07060961956549748,99,16.78,244.7,91,11.01,-0.08500822876431662,-0.6011950896927301,2.7,-0.4279320210630416,False
OH,107,415,-6820,no,yes,26,-0.3337377635850702,123,27.47,-0.10808035589345631,103,16.62,254.4,103,11.45,1.2404816915093566,-0.6011950896927301,3.7,-0.4279320210630416,False
NJ,137,415,-1563,no,no,0,1.1683036448096902,114,41.38,-1.573383360718368,110,10.3,162.6,104,7.32,0.7031209130200295,0.2115338634388332,3.29,-1.1882184955849595,False
OH,84,408,-9624,yes,no,0,2.196596051534709,71,50.9,-2.7428647629541323,88,5.26,196.9,89,8.86,-1.3030259933401247,1.0242628165703964,1.78,0.3323544534588762,False
OK,75,415,-6296,yes,no,0,-0.24008970511547034,113,28.34,-1.038932332040641,122,12.61,186.9,121,8.41,-0.049184176865028274,-0.6011950896927301,2.73,1.092640927980794,False
AL,118,510,-7636,yes,no,0,0.8010563566936119,98,37.98,0.38692779243905084,101,18.75,203.9,118,9.18,-1.4104981490379902,0.6178983400046149,1.7,-1.1882184955849595,False
MA,121,510,-9638,no,yes,24,0.7055720617834312,88,37.09,2.909299990515851,108,29.62,212.6,118,9.57,-0.9806095262465284,1.0242628165703964,2.03,1.092640927980794,False
MO,147,415,-8672,yes,no,0,-0.4182046398517681,79,26.69,-1.9303414278426065,94,8.76,211.8,96,9.53,-1.1239057338436824,0.6178983400046149,1.92,-1.1882184955849595,False
LA,117,408,-4384,no,no,0,0.08676038130783952,97,31.37,2.9704364550509417,80,29.89,215.8,90,9.71,-0.550720903455067,-0.19483061312694844,2.35,-0.4279320210630416,False
WV,141,415,-7843,yes,yes,37,1.44741158377791,84,43.96,0.4145378086807047,111,18.87,326.4,97,14.69,0.34488039402714477,0.2115338634388332,3.02,-1.1882184955849595,False
IN,65,415,-6274,no,no,0,-0.9305146067736974,137,21.95,0.5427271698026688,83,19.42,208.8,111,9.4,0.8822411725164718,0.6178983400046149,3.43,1.852927402502712,True
RI,74,415,-9059,no,no,0,0.14551994740641183,127,31.91,-0.7411385854342324,148,13.89,196.0,94,8.82,-0.407424695857913,0.2115338634388332,2.46,-1.1882184955849595,False
IA,168,408,-744,no,no,0,-0.9360233160954382,96,21.9,-1.8948428355319087,71,8.92,141.1,128,6.35,0.34488039402714477,-1.0075595662585117,3.02,-0.4279320210630416,False
MT,95,510,-7612,no,no,0,-0.4255495856140898,88,26.62,0.9194066770995167,75,21.05,192.3,115,8.65,0.7389449649193185,0.2115338634388332,3.32,1.092640927980794,False
IA,62,415,-8872,no,no,0,-1.08475846778245,70,20.52,2.0948045113870637,76,26.11,203.0,99,9.14,1.0255373801136258,0.6178983400046149,3.54,1.852927402502712,False
NY,161,415,-6918,no,no,0,2.81173525912914,67,56.59,2.3038517772167286,97,27.01,160.6,128,7.23,-1.7329146161315863,1.8369917697019598,1.46,1.852927402502712,True
ID,85,408,-8534,no,yes,27,0.30527251773690617,139,33.39,1.5761306348474244,90,23.88,89.3,75,4.02,1.2763057434086456,-0.19483061312694844,3.73,-0.4279320210630416,False
VT,93,510,-2537,no,no,0,0.20060704062382356,114,32.42,0.33959633602478706,111,18.55,129.6,121,5.83,-0.7656652148507977,-0.6011950896927301,2.19,1.092640927980794,False
VA,76,510,-2636,no,yes,33,0.18224467621801965,66,32.25,0.2331005590926943,65,18.09,165.7,108,7.46,-0.08500822876431662,0.2115338634388332,2.7,-0.4279320210630416,False
TX,73,415,-2409,no,no,0,0.8194187210994157,90,38.15,-0.8180522021074109,88,13.56,192.8,74,8.68,0.9897133282143376,-1.0075595662585117,3.51,-0.4279320210630416,False
FL,147,415,-5404,no,no,0,-0.4530931322227956,117,26.37,0.7636072997358988,93,20.37,208.8,133,9.4,0.1299360826314141,-0.19483061312694844,2.86,-1.1882184955849595,False
CO,77,408,-7591,no,no,0,-2.155284312640818,89,10.61,-0.6129492243122684,121,14.44,209.6,64,9.43,-1.6254424604337208,0.6178983400046149,1.54,2.61321387702463,True
SC,111,415,-2215,no,no,0,-1.2738908211622304,103,18.77,-1.2558681739393494,102,11.67,189.6,105,8.53,-0.9089614224479514,0.6178983400046149,2.08,0.3323544534588762,False
VA,132,510,-4353,no,no,0,-1.8119080982522853,86,13.79,0.872075220685253,72,20.84,237.0,115,10.67,0.02246392693354905,-1.0075595662585117,2.78,-1.1882184955849595,False
NE,174,415,-3367,no,no,0,-1.0186539559215562,76,21.13,1.5011891621915079,112,23.55,250.7,115,11.28,1.8853146256965494,0.2115338634388332,4.19,1.092640927980794,False
WY,57,408,-3460,no,yes,39,0.6100877668732511,115,36.21,-0.19485469265293975,112,16.24,182.7,115,8.22,-0.26412848826075896,-0.6011950896927301,2.57,-1.1882184955849595,False
MT,54,408,-5994,no,no,0,-0.8350303118635167,73,22.83,-0.8969379627978503,100,13.22,102.1,68,4.59,1.5987222105022414,-0.19483061312694844,3.97,1.092640927980794,False
MO,20,415,-2277,no,no,0,0.18775338553976104,109,32.3,1.128453942929181,84,21.95,181.5,102,8.17,-1.4104981490379902,0.6178983400046149,1.7,-1.1882184955849595,False
HI,49,510,-7379,no,no,0,-1.1104657779505758,117,20.28,0.27845987148969664,109,18.28,178.7,90,8.04,0.30905634212785643,-1.4139240428242934,3.0,-0.4279320210630416,False
IL,142,415,-8012,no,no,0,-1.7439673499508106,95,14.42,-1.2677010380429157,63,11.62,250.5,148,11.27,1.419601951005799,0.6178983400046149,3.83,0.3323544534588762,False
NH,75,510,-2989,no,no,0,0.8506347405892822,105,38.44,0.010248285142202789,107,17.13,246.2,98,11.08,0.02246392693354905,0.2115338634388332,2.78,-0.4279320210630416,False
AZ,12,408,-1236,no,no,0,1.282150304125674,118,42.43,1.0140695899280443,119,21.45,280.2,90,12.61,0.5598247054228761,-0.6011950896927301,3.19,-0.4279320210630416,True
